mkt_email,next_mnth_pv,age,tenure,ammount_spent,vehicle,food,beverage,art,baby,personal_care,toys,clothing,decor,cell_phones,construction,home_appliances,electronics,sports,tools,games,industry,pc,jewel,books,music_books_movies,health
0,46.72,43,1,54.63,0,2,1,1,4,4,1,1,1,3,3,1,2,0,0,0,1,2,1,0,1,5
0,104.62,62,1,58.05,0,1,3,3,0,2,3,1,1,1,2,1,3,2,0,1,3,2,1,1,0,2
1,1111.17,27,0,23.56,0,1,1,2,0,0,1,2,1,0,2,1,1,3,1,2,1,2,0,2,0,1
0,17.49,21,0,18.6,0,1,0,1,0,0,0,1,1,2,1,2,2,0,0,2,1,1,2,0,0,0
0,126.99,33,0,64.9,0,0,1,1,2,6,0,2,0,4,1,0,3,1,0,3,2,0,0,1,0,2
1,1446.96,70,0,127.56,0,4,2,2,1,1,0,1,3,0,2,1,1,0,1,3,2,4,0,2,2,1
1,1210.25,58,0,72.34,0,0,1,1,0,1,1,1,0,4,1,1,2,0,2,3,1,1,1,2,3,1
0,235.3,38,0,142.04,0,2,1,1,0,1,0,4,1,2,0,2,3,0,1,3,0,3,1,3,0,1
0,55.95,31,1,26.61,0,1,0,0,0,1,1,2,4,1,1,1,1,1,0,1,1,2,1,0,0,3
0,141.94,40,0,168.95,1,2,1,1,2,0,1,3,0,5,0,1,5,1,0,1,0,0,0,1,0,2
1,1253.67,27,0,1.63,0,1,0,0,3,2,1,1,1,2,1,0,1,2,2,1,2,1,0,1,0,2
0,74.48,45,1,45.09,0,2,0,4,0,2,3,3,1,2,2,0,4,0,2,1,0,3,0,1,0,3
1,1695.38,71,1,40.43,0,0,2,0,2,0,1,3,0,4,3,1,3,1,0,0,2,3,0,2,2,2
1,643.44,27,0,71.33,0,0,0,2,0,2,0,2,0,1,0,0,0,0,1,2,1,0,0,1,0,2
0,29.06,35,0,102.44,0,1,1,0,0,1,0,2,1,4,1,2,2,0,0,1,0,0,3,0,0,2
0,63.91,43,0,49.53,1,1,2,0,1,1,1,0,1,2,0,0,0,3,1,1,1,2,1,0,2,4
0,90.18,32,0,42.55,0,2,0,0,0,1,0,4,2,1,1,0,3,1,1,4,2,1,1,2,1,2
1,10826.75,46,0,30679.97,0,1,2,1,1,1,0,5,2,3,2,1,2,0,2,0,2,2,0,0,1,2
0,217.13,24,0,461.69,0,1,0,1,2,1,0,1,1,2,1,0,1,1,2,0,1,4,3,2,0,0
0,2.96,52,0,192.84,0,1,1,1,0,1,0,3,1,2,1,1,2,1,0,1,1,1,1,1,0,1
0,11.94,29,0,10.67,0,1,0,1,1,0,3,3,3,2,1,2,2,4,0,0,0,2,0,1,1,0
0,254.73,31,2,220.6,0,2,0,2,1,0,2,2,1,3,1,3,1,1,1,0,0,3,2,1,2,0
1,1796.26,34,1,13.98,0,3,0,0,2,0,2,1,1,4,1,0,1,2,2,3,3,3,3,2,0,3
0,119.99,32,0,335.11,1,1,0,3,0,0,2,6,0,3,1,1,2,3,1,1,2,6,0,3,1,4
0,41,25,1,43.99,0,2,0,2,0,0,0,3,1,4,2,1,2,0,1,3,0,3,0,2,0,0
1,1141.04,30,0,35.14,1,1,2,0,1,1,0,3,1,1,2,0,1,4,1,2,0,1,0,3,1,0
1,1390.64,47,1,211.63,0,1,2,1,0,3,1,2,0,5,0,0,0,0,0,1,2,3,0,0,1,1
0,97.87,35,1,26.01,0,1,0,1,0,1,1,4,1,3,4,2,0,1,3,2,1,4,1,2,0,1
0,31.2,45,0,121.9,0,3,0,2,0,0,2,2,1,4,0,3,2,1,1,1,1,2,0,0,2,1
0,75.99,26,1,89.09,0,0,0,2,2,1,1,0,1,2,0,1,1,4,0,2,2,3,1,1,0,4
0,91.02,23,0,327.07,0,0,1,1,3,0,1,4,2,3,0,0,3,1,2,1,0,1,0,1,0,0
1,1533.75,38,0,103.96,0,0,3,2,0,1,1,0,3,4,2,4,5,0,0,2,0,3,1,1,0,2
1,1333.56,35,2,20.28,0,2,0,0,2,2,1,4,0,2,2,0,0,0,3,2,1,3,0,1,0,1
0,0.58,38,0,7.21,0,2,2,0,0,1,1,2,2,3,1,2,3,1,3,4,2,2,2,0,0,2
1,1607.12,30,1,55.96,0,2,0,1,1,0,4,0,1,4,1,0,0,0,0,2,2,4,0,0,1,2
1,1287.64,45,0,25.44,0,2,3,0,1,1,0,4,2,2,0,0,2,3,2,2,0,0,0,1,1,1
1,2047.2,47,0,365.76,0,0,1,0,2,0,0,2,0,4,2,0,2,2,4,3,0,3,0,2,3,6
0,101.13,34,0,135.3,1,0,1,1,0,2,0,2,3,1,1,0,0,0,0,1,1,3,1,0,2,1
0,2.58,20,0,135.23,0,1,2,1,1,1,0,2,1,5,0,1,1,0,1,6,3,3,2,3,1,2
1,1169.99,65,0,11.71,0,2,0,1,0,1,0,2,0,5,1,2,2,1,1,3,1,3,0,1,0,1
1,1745.26,47,1,144.64,0,3,0,2,2,0,1,2,0,2,2,2,2,1,2,1,0,6,3,0,0,4
0,32.91,26,1,169.4,0,1,0,2,1,1,1,1,0,8,2,1,1,1,1,3,2,1,1,1,2,2
0,101.15,39,1,263.7,0,1,1,0,0,1,1,3,0,1,0,0,0,0,0,3,1,2,1,2,3,1
0,0.39,42,0,47.18,0,0,3,3,0,3,1,1,1,5,0,0,0,0,1,3,0,0,2,2,1,2
1,1391.21,41,0,112.08,0,0,2,0,0,1,3,4,2,1,0,0,3,3,3,2,0,2,0,1,1,0
0,43.4,56,0,63.57,0,1,0,1,1,1,3,3,2,4,2,0,4,3,0,3,0,3,1,4,0,0
0,66.37,20,0,119.3,0,3,0,2,2,1,1,2,0,2,0,1,1,0,0,1,0,1,1,1,1,2
1,1110.05,71,0,46.43,0,2,2,1,1,0,2,2,0,2,1,0,1,1,0,3,0,3,2,2,1,0
0,153.77,48,0,44.44,0,1,1,0,0,1,0,1,3,1,4,0,1,2,1,2,2,1,0,0,0,2
1,1964.28,23,0,1.99,0,2,1,1,5,3,0,3,1,3,0,1,2,0,0,0,3,5,2,0,3,1
0,25.97,42,0,51.76,0,1,0,0,1,2,0,7,0,3,0,0,4,3,0,1,1,1,1,0,2,2
1,955.42,37,0,91.56,0,2,0,0,1,0,0,1,0,2,2,0,3,2,1,4,0,2,0,1,0,2
0,6.71,36,1,32.53,0,2,1,0,1,0,1,3,0,6,2,1,1,0,1,3,1,1,0,1,0,2
1,1421.95,57,0,8.21,0,1,0,1,3,0,1,1,0,5,1,1,1,0,2,3,0,3,2,1,2,2
1,1100.17,37,0,160.79,0,0,0,0,1,1,0,2,3,3,1,0,2,0,0,1,0,0,1,1,2,2
0,9.47,32,0,30.77,0,2,2,0,0,2,2,4,1,2,1,1,3,0,1,1,2,3,3,0,1,1
1,1019.52,47,0,67.91,0,1,0,0,1,0,1,2,0,3,2,1,4,0,1,0,0,2,1,0,3,0
0,8.2,36,0,13.41,0,3,0,0,1,0,1,4,1,3,2,2,2,1,1,2,3,0,0,0,1,2
0,87.37,53,0,2.81,0,0,0,1,0,1,0,3,0,4,1,2,0,1,2,3,2,3,0,1,0,5
1,2248.51,32,1,87.56,0,1,1,0,3,1,1,2,2,4,2,3,0,0,4,5,2,2,0,1,2,5
0,2.47,57,0,24.18,0,1,0,2,2,0,2,3,0,2,1,2,3,0,0,6,0,3,2,0,0,3
0,26.65,41,1,110.68,0,1,1,1,2,1,1,2,0,1,1,2,1,1,2,1,1,3,0,3,2,4
1,1157.18,60,0,18.8,0,0,1,1,1,2,2,0,1,4,0,1,2,2,0,1,0,1,2,0,1,1
0,20.31,53,0,109.65,0,1,1,0,2,0,3,1,1,2,1,0,1,3,0,2,1,2,1,1,1,3
0,27.91,33,1,24.18,0,0,1,2,2,0,0,1,0,4,1,0,2,1,2,1,0,2,1,0,1,5
1,5317.68,23,0,19723.89,0,1,0,2,1,2,0,1,2,3,1,1,5,0,1,2,0,3,1,2,0,0
1,1431.12,21,0,190.46,0,0,2,1,1,3,1,3,1,4,0,2,3,0,3,5,2,1,0,0,0,1
1,1674.41,36,1,104.17,1,0,1,0,2,0,0,2,2,7,1,1,3,0,1,2,2,0,0,1,2,2
0,247.09,58,0,99.47,0,0,1,1,0,1,0,1,0,4,0,2,4,0,1,4,2,1,0,0,0,0
1,1339.35,39,0,25.73,1,2,0,2,0,1,1,0,3,2,1,2,0,0,0,2,1,1,3,1,0,3
0,41.51,45,0,8.18,0,2,0,2,0,4,2,0,1,3,1,1,1,3,2,3,1,0,0,0,1,1
1,1093.99,23,0,187.91,0,0,0,2,1,0,0,2,0,2,0,0,2,0,1,4,2,3,2,1,1,1
1,1476.87,33,2,46.64,1,2,2,0,3,2,3,2,0,2,0,1,3,3,0,1,0,2,1,1,0,2
0,236.71,35,0,117.58,0,2,1,1,1,1,0,1,0,4,1,0,1,0,1,0,0,3,1,1,0,1
0,205.5,41,2,270.16,1,1,2,1,2,1,2,0,1,2,2,0,5,1,1,2,1,2,1,1,2,2
1,1235.5,37,1,86.17,0,0,0,1,2,1,2,1,0,3,2,2,1,0,0,4,2,4,0,1,0,1
1,994.66,47,1,21.67,0,0,1,1,0,1,0,1,1,3,3,0,1,3,2,0,0,3,0,0,0,1
1,1905.91,33,1,14.72,0,0,0,0,3,2,1,5,3,6,0,2,3,2,1,4,1,2,1,1,0,2
1,1660.79,35,0,44.52,1,1,3,2,1,1,1,3,2,4,2,1,1,0,1,2,2,2,1,1,1,0
0,64.75,37,0,63.01,0,0,0,0,0,2,1,3,3,2,1,0,3,1,2,3,2,1,0,2,0,0
1,1107.12,31,1,23.88,0,0,0,0,1,0,1,3,0,2,0,1,3,1,2,2,2,4,2,4,0,0
1,1885.98,25,0,11.83,0,0,0,3,0,2,3,1,2,5,4,2,1,1,3,1,0,1,1,2,4,2
0,296.24,46,1,346.16,0,1,1,1,2,0,0,1,0,3,1,2,3,2,2,1,1,1,2,2,5,3
0,75.76,37,0,27.73,0,2,2,1,2,0,3,2,0,4,0,1,1,1,0,0,1,5,1,0,0,4
1,1374.64,32,0,12.51,0,0,3,0,3,1,2,3,0,2,2,0,1,1,0,0,1,1,1,0,1,1
1,1606.87,46,1,72.84,0,1,1,0,1,2,0,2,3,3,1,0,3,0,2,1,1,3,1,2,2,2
0,50.69,48,0,71.15,0,0,2,1,0,1,3,1,1,6,3,1,1,0,0,2,1,1,0,1,2,2
0,175.1,42,1,121.41,0,2,0,0,2,0,1,1,1,3,0,1,2,0,0,0,0,2,1,0,1,1
0,3.82,49,0,49.53,0,1,1,3,1,2,3,1,3,2,0,1,2,0,0,5,1,2,0,0,0,1
1,1070.58,34,1,73.28,0,0,1,0,1,1,0,0,0,4,0,2,2,3,0,7,0,1,1,0,1,2
1,1256.31,28,0,101.76,1,0,0,1,1,1,1,3,1,2,2,3,1,0,0,5,2,1,1,2,0,1
0,35.84,56,1,141.86,0,0,0,1,0,1,0,0,1,2,0,1,5,0,1,1,2,1,1,0,0,6
0,3.65,49,0,176.05,0,2,1,2,0,0,1,2,0,4,3,0,3,1,1,1,1,2,1,2,2,1
0,56.31,46,0,139.92,0,1,0,2,1,1,0,3,0,2,0,2,1,0,0,1,1,2,1,1,0,3
0,10.57,34,0,53.22,0,0,1,1,1,0,0,1,0,3,2,0,3,0,0,1,1,4,2,1,2,2
1,1021.46,21,1,68.79,0,2,0,1,0,1,1,1,0,5,0,0,1,0,3,1,2,1,0,0,0,2
0,154.71,23,0,430.64,0,0,1,1,1,1,2,3,0,2,1,1,4,1,1,1,1,2,2,0,0,1
1,1367.69,37,0,245.29,0,0,1,1,0,1,2,2,0,5,1,0,3,0,1,1,0,1,1,2,1,1
1,950.28,41,0,5.25,0,4,0,0,0,0,0,1,0,5,0,0,1,1,0,3,1,2,1,1,1,2
0,11.23,32,1,33.63,0,2,0,2,2,3,1,6,1,4,2,0,4,3,1,6,2,1,0,2,0,2
1,1251.19,38,0,112.18,0,0,0,0,4,0,0,3,0,3,0,3,0,2,0,0,2,1,1,0,1,1
0,6.47,49,0,88.22,0,0,1,0,1,1,1,0,1,4,1,0,3,1,0,0,0,2,0,0,2,3
1,1749.89,33,0,170.27,0,1,3,0,0,0,3,1,2,6,1,1,1,0,2,2,0,2,0,4,1,2
